Tier,Name,Description
1,Magic Arrow,"A 1st tier spell that allows the user to shoot out an arrow made of mana that will pierce a target. Ainz also used this spell with Triplet Maximize Magic. Ulbert, on the other hand, uses it with Boost Magic. In addition, Iguva=41 can cast the spell with Silent Magic. Unlike regular arrows, [Magic Arrow]s were guaranteed to hit independent of the evoker's skills. Casting it at a higher tier would increase the amount of projectiles generated as well as the individual damage output of each projectile. Even so, a single projectile's damage output was still minuscule. It was pretty much impossible for them to one-shot their enemies with a single cast. The damage output of the spell did not depend on where the enemy was struck."
1,Oderless,"By using this 1st tier spell, the caster can hide their scent."
1,Quick March,"In the Web Novel, this 1st tier spell could instantly increase an individual's movement speed by about 20%."
1,Repair,In the Web Novel it is a 1st tier spell that could repair an item but it is not recommended to be used frequently as each repair lowers the value of the item.
1,Rabbit Ears,A 1st tier spell used to enhance the user's hearing sense.
1,Rabbit Foot,A 1st tier spell used to increase the caster's luck.
1,Sleep,"In the Web Novel, it is a 1st tier spell that forces a person to have the desire of sleeping. The effect of the spell can be dispelled by simply shaking the person effected by it."
1,Summon Monster 1st,Summons a tier 1 monster
1,Summon Undead 1st,Summons a tier 1 undead
1,Summon Demon 1st,Summons a tier 1 demon
1,Summon Angel 1st,Summons a tier 1 angel
1,Water Splash,A ball of water that is shot out at the intended target.
1,Fog Cloud,A bank of fog that covers up the surrounding.
1,Falling Control,A spell designed to slow down a person falling speed to prevent fall damage from occurring.
1,Flash,"A spell that causes the caster's body to emit bright, searing light."
1,Elephant Ear,A Spell that enhances one's hearing.
1,Dark Vision,A spell that grants the user night vision abilities.
1,Acid Splash,A spell that launches a pool of acid at a targeted area.
1,Alarm,"As the name suggested, it was a spell of warning that would trigger if anything trespassed on their camp. However, it only had a small area of effect."
1,Detect Enchant,Detects and analyses the type of magic in which the spell cast upon.
1,Mana Essence,Identifies MP of the target.
1,Appraisal Magic Item,Identifies the item in which the spell is cast upon.
1,Dance,"In order to activate it, the owner of the weapon imbued with this spell must use their mind to give it orders. However, it was impossible to command a floating weapon to do anything other than simple movements if one was in the middle of a fight with their life on the line."
1,Scare,Induces fear into the opponent.
1,Detect Undead,It is a spell used by the caster to identify whether the target is an undead or not.
1,Luminous,Single-target spell which causes the body of a desired being within range to glow with magical light. Can only be maintained on one target at a time.
1,Life Essence,The spell allows the caster to view the health values of an enemy.
1,Charm Person,"The spell could be caused by the charmed target to see the user as their best friend. And as their friend, the user's words had a certain amount of effect on that person. However, since this was only a low-level charm spell, it could not brain-wash the target."
1,Detect Magic,The spell is used to detect magical traps or magic items that are hidden in the midst of the user's presence.
1,Detect Life,This spell is used to identify whether the target is alive or dead.
1,Detect Locate,The user can detect when magic is being used to detect them.
1,Detect Poison,Reveals the presence and type of poison in a creature or object. Can identify both magical and natural poisons within a short range.
1,Fire Arrow,Creates a magical arrow of fire that unerringly strikes its target. Basic offensive spell with fire damage component.
1,Grow Plant,Accelerates the growth of normal plants within a small area. Can cause plants to grow to full size in minutes rather than days or weeks.
1,Mud Arrow,Projects a concentrated blast of mud at a target. Can reduce movement speed and accuracy of affected targets.
1,Sense Enemy,Grants the caster awareness of hostile entities within a short range. Does not reveal exact locations but indicates general direction and approximate number of enemies.
2,Acid Arrow,"A single-target, 2nd tier spell which fires a bolt of caustic acid at the enemy."
2,Cure Disease,"Web Novel listed it as a 2nd tier spell, it is a spell used to cure diseases however it is not powerful enough to cure cursed diseases such as Demon fever."
2,Hawk Eye,It strengthens the users vision to see far away objects a lot closer
2,Invisibility,A spell that makes one invisible
2,Lesser Dexterity,It is a 2nd tier spell that raises the target's dexterity.
2,Lesser Strength,A spell that raises the target's strength.
2,Mass Compass,It is a 2nd-tier spell which was said to be a multi-target version of [Compass].
2,Message,"In the Web Novel, the spell is classified as part of the 2nd tier. This spell was used to communicate in the game. Normally, its use was restricted to certain places and conditions. The problem was that this spell was originally designed to communicate with other players, and it could not reach a GM. When one used the [Message] spell, as long as the other party was within the game, one would hear a call tone. Otherwise, there would be no sound, and the spell would immediately terminate. In the New World, the effect from this spell's usage felt like something was constantly reaching out, as though looking for something to connect to."
2,Protection of Energy Negative,A 2nd tier spell that provides limited protection against negative energy powered spells and skills.
2,Shock Wave,"A 2nd tier spell that when activated, emits an invisible shock wave that can even distort the air and can easily crush a full plate armor."
2,Silence,A 2nd tier spell that allows the user to eliminate sounds in an area.
2,Summon Monster 2nd,"summons a tier 2 monster, or several tier 1 monsters."
2,Summon Undead 2nd,"summons a tier 2 undead, or several tier 1 undead."
2,Summon Demon 2nd,"summons a tier 2 demon, or several tier 1 demons."
2,Summon Angel 2nd,"summons a tier 2 angel, or several tier 1 angels."
2,Temperature Change,"A 2nd tier lifestyle tradition spell used to alter the temperature of the water until it was comfortable, or to directly heat the room."
2,Thunderlance ,A 2nd Tier spell that fires thunder like a lance at a target.
2,Middle Cure Wound,A low tier healing spell used to cure certain wounds.
2,Resist Weakening,A spell designed to buff someone to be able to resist their weakening condition.
2,Darkness,"A spell made to conceal the brightness of the flames, but not the fire itself."
2,See Invisibility,A spell that allows a user to bypass the effect of a casted Invisibility spell on themselves.
2,Copy,A spell that allows to copy from the original to a new copy with the exact details as the original.
2,Repel Undeath,A spell that creates a barrier to ward off the low-level undead.
2,Hypnotism,A spell that hypnotizes a target
2,Blindness,A spell that makes your opponent temporarily blind.
2,Reinforce Armor,A spell that raises the target's defense.
2,Open Wounds,A spell that worsens wounds.
2,Distant Vision,"A spell that would display what it saw on a flat, magical screen. The screen could also be expanded or shrunken at will."
2,Undead Avoidance,A spell which protects the caster from undead without intelligence.
2,Sharp Cutting Talisman,A talisman with the effect of slicing up an opponent's body.
2,Green Chain,A type of binding spell.
2,Fox Sleep,"An illusion spell that activates after being injured, tricking the target into thinking the user is out of commission."
2,All Appraisal Magic Item,"Besides identifying the target item, this spell would even tell its caster about a magic item�s creator and manufacturer."
2,Ice Pillar,"By activating this spell, the user could sprout two pillars of ice."
2,Earth Bind,"By using this spell, numerous chains are created from mud and then flew at the target to bind it."
2,Strengthen Self,Entoma improves her physical abilities with this talisman while simultaneously enhancing her combat ability by equipping herself with different bug-like weapons. The talisman activates when she sticks it to her body.
2,Acid Javelin,Fires a bolt of caustic acid towards an enemy.
2,Dark,"It is not as powerful as the single-target [True Dark] spell, but can still dish out none-type damage with the element of darkness nonetheless."
2,Twine Plant,"Summons vines from the ground to entangle targeted opponents, immobilizing them."
2,Lion's Heart,The spell provides only a single target with complete resistance to fear.
2,Discern Enemy,This spell allows the user to identify the enemy's estimated level.
2,Magic Weapon,This spell could temporarily enchant a person's weapon with magic and increase its sharpness.
2,Soften Steel,This spell decreased the intended target's defensive strength.
2,Harden Steel,This spell increased the intended target's offensive power.
2,Lesser Protection Energy,This spell reduced energy damage.
2,Preservation,"When used on either a potion or a person's corpse, it could preserve the intended target's quality no matter how much it aged over time without getting degraded."
2,Bless Weapon,"Temporarily enhances a weapon with magical energy, improving its effectiveness against certain types of creatures. Common enhancement for holy warriors."
2,Charm,Influences target's emotional state to be more favorable toward the caster. More powerful than Charm Person but shorter duration.
2,Conceal Life,"Masks life force signature, making it harder for others to detect the target using divination magic."
2,Confusion,Causes target to become disoriented and unable to determine friend from foe. May cause random actions.
2,Crystal Monitor,Creates a transparent crystal surface that can display magical images or information. Used for surveillance and communication.
2,Cure Moderate Wounds,Healing spell that repairs moderate physical damage and stops bleeding. More effective than basic healing but less than greater healing spells.
2,Cure Poison,"Neutralizes poison in the target's system, both magical and natural varieties. Can cure multiple poison effects at once. Includes alcohol"
2,False Cover,Creates an illusory barrier that appears solid but can be passed through by allies. Useful for tactical positioning.
2,Fear,Causes target to become frightened and likely to flee. Can affect multiple targets if they are weak-willed.
2,Floating Eye,Conjures an invisible magical sensor that allows the caster to see from its position. Limited range but can move through small openings.
2,Hold,Temporarily paralyzes a single target. Target can resist through willpower or if they take damage.
2,Magic Boost,Enhances the power of spells cast by the target. Effect is temporary. Does not stack multiple times.
2,Magic Shield,Creates a barrier of magical force that absorbs incoming damage. More effective against magical attacks than physical ones.
2,Middle Healing,Standard healing spell that repairs moderate wounds and reduces fatigue. Balanced between mana cost and healing effectiveness.
2,Piercing Wind Talisman,Talisman that summons forth a gust of wind that also deals piercing damage.
2,Poison,"Induces a toxic effect in the target, causing ongoing damage over time. Can be resisted by those with strong constitution."
2,Protection from Evil,"Increase target�s damage resistance against beings with negative karma. The greater the negative karma, the greater the damage resistance."
2,See Through,A low tier spell used for countering basic invisibility spells.
2,Sensor Boost,Enhances all sensory abilities of the target temporarily. Improves awareness and reaction time.
2,Woodland Stride,Allows unhindered movement through natural vegetation and terrain. Does not work on magically created plant barriers.
3,Animate Dead,"Creates a low-level undead such as Zombies from corpses, but with Shalltear's special skill, it can become a Lesser Vampire. In the Web Novel, it is a 3rd tier spell."
3,Create Undead,A 3rd tier spell that allows the user to spawn a low-tier undead minion.
3,Dimensional Move,"A 3rd tier spell, but to magic casters, it was an escape spell used to put distance between themselves and their adversaries. The caster could only use this spell on themselves."
3,Electrosphere,"A 3rd-tier AoE spell that can create balls of lightning, appearing in the user's open palms, and then shot forth toward their intended targets, expanding. Narberal can make the two lightning balls nearly twice the normal size, greatly augmenting its destructive power."
3,Fireball,A 3rd-tier AoE spell that allows the user to shoot out a big ball of fire that attacks its target and bursts.
3,Flame Resistance,"A 3rd tier spell used by Olasird'arc Haylilyal to cover the Frost Dragon's racial weakness to fire. In other words, it grants resistance to the fire element."
3,Fly,A 3rd tier spell that gives the caster the ability to fly. Ainz could use this spell with Silent Magic.
3,Haste,A 3rd tier spell that allows to buff an individuals speed.
3,Heavy Recover,A 3rd tier divine spell used for healing the person as long as the user has sufficient mana provided.
3,Holy Light,A 3rd Tier divine spell that does full damage to evil creatures.
3,Hot Spring,"A 3rd tier lifestyle tradition spell which creates a hot spring. Apparently, it was an imitation of the druid spell [Geyser]."
3,Iceball,An area-effect spell like Fireball. It shoot a large ice ball and bursts.
3,Lightning,A 3rd tier spell that shoots a bolt of lightning from the tip of the caster's finger. It is effective against targets wearing metal armor. The lightning generates and pierces in a straight line.
3,Lopsided Duel,"A 3rd-tier spell that bounds the caster to the target such that whenever the target tried to flee by teleportation, both caster and target would appear in the same place. It could even ignore the target�s use of [Delay Teleportation] and teleport both of them to the designated location. However, this spell had a fatal flaw. If the target teleported among its friends, then the caster would be brought to the same place thanks to the binding, whereupon he would be surrounded. Before it was patched in YGGDRASIL, one could cast it on a teammate and piggyback off their teleportation, but after the patch, it could only be cast on enemies. This spell also had the advantage that if the caster teleported away, his opponent would not be teleported with it, which made fleeing easy."
3,Slow,A 3rd tier spell that slows down an enemy's movement. Ainz seems to use this spell with Penetrate Magic.
3,Spider Talisman,Entoma uses about four pieces of talisman to summon an enormous spider the moment it hits the ground. The level of this spell is equivalent to a 3rd tier Summon Monster� spell. These spiders are handy for buying time and determining an enemy's capability.
3,Summon Monster 3rd,"summons a tier 3 monster, or several tier 2 monsters."
3,Summon Undead 3rd,"summons a tier 3 undead, or several tier 2 undead."
3,Summon Demon 3rd,"summons a tier 3 demon, or several tier 2 demons."
3,Summon Angel 3rd,"summons a tier 3 angel, or several tier 2 angels."
3,Sunlight,A 3rd tier divine spell designed to both blind a target and deal damage to undead beings
3,Thunderball,A 3rd tier area-of-effect spell.
3,Summon Monster/Beast 3rd,"A 3rd tier spell used to summon low-level monsters/beasts such as a Snap Grasp, Summoned Bear, or Summoned Wolf"
3,Poison Bomb,A single-target spell that deals poisonous damage to one foe.
3,Hand of Glory,A spell that can be used in two ways.
3,Lightning Claw,A spell that casts a stroke of electricity in the shape of a beast talons through the air and does electric damage to an intended target.
3,Sandman's Sand,A spell that causes a deeper sleep than the spell Sleep. One would wake up from just a shake for Sleep but wouldn't open their eyes unless they receive damage if it was Sandman�s Sand.
3,Disease,A spell that could cause illness.
3,Earth Surge,A spell that moves the earth to form high columns of earth and dirt. A wave was moving across the land as though it were the sea.
3,Hold of Ribs,A spell that restricts a target's movement with bones and can deeply piece it through their flesh.
3,Undeath Slave Sight,"A spell used on specific kinds of undead the user summoned. A small window appeared in the corner of Momonga�s field of vision, allowing him to see through that undead's eye sockets."
3,Crystal Dagger,"A spell used to create an even larger crystal dagger unlike the one before while then appearing in mid-air and shot out. This dagger did purely physical damage and could not be resisted. On top of this, by further applying special magic skills, it is able to break through defenses easily."
3,Shard Buck Shots,"A spell used to create many crystals smaller than the size of a fist shot out in a scattered pattern. These are crystal fragments which sharp front ends. Originally, it would be used in close-quarter combat to inflict enormous harm."
3,Explosive Talisman,A talisman that causes a violent explosion. It boasts enough firepower to send enemies flying upon impact.
3,Piercing Cacophonous,A type of buffing spell.
3,Ray of Negative Energy,"An offensive spell, calling forth a beam of dark power that can heal undead but prove harmful to the living."
3,Eat Untidy,"An touch attack spell where the caster bites the enemy, increases the chance of inflicting wounds and causing bleed status effect"
3,Paralysis,"Causes paralysis in the target, limiting or preventing them of physical movement, though slight physical functions are still possible, such as turning their head or speaking."
3,Scintillating Scotoma,Creating an illusionary arm while the real arm is invisible.
3,Resist Break,Decrease the foe's Magical resistance.
3,Shielding Prayer,Increases the magic attack of all allies and decreases magic damage taken.
3,Shield Wall,It creates an invisible barrier around the target.
3,Protection Energy - Electricity,Provides limited protection from electric attacks.
3,Protection Energy - Fire,Provides limited protection from fire attacks.
3,Protection Energy - Ice,Provides limited protection from ice attacks.
3,Turn Undead,Repels or exorcises undead targets depending on the difference of strength between the caster and the targets.
3,Force Explosion,Sends an invisible shockwave towards the target.
3,Lightning Bird Talisman,Shoots a bird formed by lightning. It is a talisman that flies toward its intended target after transforming in midair into a bird that discharges pale shocks. It emits blinding light and deals electric damage.
3,Multiple Vision,Succulent can make illusionary copies of himself.
3,Wall of Stone,"Surrounds the user with stone walls, protecting them from damage. The wall is about two to three meters high from the ground. But because it was used by Envario, it is below the fourth rank.[16]"
3,Under Divine Flag,"This has to be a tier 3 or lower spell. The spell provided complete immunity to fear, affecting everyone in a sphere around the caster. It is a spell that was centered on the paladin who had cast it, which meant that its effect were strongest when many people were bunched up within its effective radius."
3,Lightning Bolt,This spell creates bluish-white lightning created that can pierce its intended target.
3,Explode Mine,"Trap magic that explodes when it is near the enemy. Through Triplet Maximize Magic, it can create three large explosions."
3,Bless of Magic Caster,Enhances magical abilities and reduces mana consumption for a short period. Affects a single target.
3,Breath Ward,Protects against breath weapons and gaseous attacks. Particularly effective against dragon breath.
3,Burst,Creates an explosion of magical force centered on a point. Damage decreases with distance from center.
3,Charge of Stalagmite,Causes sharp stone spikes to erupt from the ground in a line. Can impale and restrict movement.
3,Clairvoyance,Allows viewing of distant locations through magical means. Can be blocked by certain protective spells.
3,Counter Detect,Conceals magical effects from detection spells. Can hide both the caster and their magical activities.
3,Fire Rain,"Causes burning droplets to fall in an area, dealing continuous fire damage. Can ignite flammable objects."
3,Geyser,Creates an eruption of scalding water from the ground. Can knock down targets and cause burn damage.
3,Magic Ward: Holy,Creates a barrier specifically attuned to block holy magic and effects.
3,Magic Ward: Fire,Creates a barrier specifically attuned to block fire magic and effects.
3,Magic Ward: Earth,Creates a barrier specifically attuned to block earth magic and effects.
3,Magic Ward: Negative,Creates a barrier specifically attuned to block Negative magic and effects.
3,Magic Ward: Water,Creates a barrier specifically attuned to block Water magic and effects.
3,Magic Ward: Star,Creates a barrier specifically attuned to block Star magic and effects.
3,Magic Ward: Lightning,Creates a barrier specifically attuned to block Lightning magic and effects.
3,Mind Protection,Shields the target's thoughts and consciousness from mental attacks and reading.
3,Penetrate Up,Increases the ability of spells to pierce magical defenses. Duration scales with caster level.
3,Resistance from Natural Weapons,Provides protection against non-magical physical attacks made by fists and other natural objects.
3,Sand Field: One,"Creates a localized sandstorm around a single target. Inflicts earth and negative energy damage. Inflicts immobilized, blinded, silenced, dazed, and life drain on target"
3,Smite Evil,"Channels holy energy into an attack, dealing extra damage to evil creatures. Favored by paladins"
3,Wall of Protection from Arrows,Creates a barrier that stops projectiles. More effective against non-magical arrows.
4,Burn Lance,A 4th tier physical spell that deals fire damage.
4,Charm Species,"It is a 4th tier spell that works on any species. It makes the target regard the caster as a ""friend"", and may be used in interrogation. However, it cannot make the target reveal secrets that they would not reveal to a friend, or perform actions that friends would not tell them to do, such as self-harm."
4,Control Cloud,A 4th tier spell that allows the user to manipulate the clouds.
4,Crystal Lance,"A 4th tier spell used by Evileye against Entoma, launching an elongated cold object sent flying in her direction."
4,Dehydration,It is a 4th tier spell which the caster would use for dealing great damage to all living beings apart from Water Elementals and other creatures closely aligned with the element of water.
4,Freeze Lance,A 4th tier physical spell that deals ice damage.
4,Grand Fireball,"Since it is of the 4th tier, this spell is presumed to be the superior version of Fireball."
4,Holy Aura,A 4th tier spell that had an effect against beings of evil.
4,Holy Ray,A 4th tier spell that can create a ray of light used to pierce the intended target.
4,Shock Lance,A 4th tier physical spell that deals lightning damage.
4,Silver Lance,"A physical spell of the 4th tier, that carried the silver element for great damage to any enemy vulnerable to silver. It also had a piercing special effect that dealt even more damage to targets not wearing any armor. A drawback was that armor could decrease its damage."
4,Summon Monster 4th,"summons a tier 4 monster, or several tier 3 monsters."
4,Summon Undead 4th,"summons a tier 4 undead, or several tier 3 undead."
4,Summon Demon 4th,"summons a tier 4 demon, or several tier 3 demons."
4,Summon Angel 4th,"summons a tier 4 angel, or several tier 3 angels."
4,Tremor Sense,"A 4th tier spell allows someone to sense even the smallest amount of tremors, allowing them to find an opponent's position. It was more effective on land but a floor should work as well however it can't detect movements done trough the air like someone using the spell Fly."
4,Veil of Moon,A defensive-type spell which grants the user immaterial magical barrier around itself.
4,Drifting Master Mine,"A mine that, as the name implies, ""drifts"" and locks on to targets that enter its range."
4,Holy Fire,A spell that can be done through performing a special ritual.
4,Transmutation Spell,A spell that can briefly allow the user to change into another specie to improve their physical attributes.
4,Crystal Wall,A spell that creates a wall made of earth-element crystals.
4,Evil Eye,A spell that lets you select an ability from the different gaze effects.
4,Mind of Undeath,A spell that protects the target from mind-affecting magic.
4,Indomitability,A spell that temporarily renders the caster invisible or undetectable to conventional vision.
4,Sleep to the Undead,A spell which triggers a chance to destroy the undead without turn resistance in a single hit.
4,Shockwave,Ainz used this spell with Maximize Magic.
4,Cacophonous Burst,An Attack spell used to create explosive sound waves that is very effective against elemental enemies in particular those of the Earth Element.
4,Spell Tattoo,"As the user chanted the keywords for activating this spell, their tattoos began to leak light from the person's body. It seems to physically enhanced but harness strength from the user's body."
4,Wall of Skeleton,Creates a wall of skeletons that can move and fight to a certain degree. Ainz can use it with Widen Magic and ECDL With Triple Magic.
4,Spirit Killing,Deals magic damage to one foe increased damage to spirits.
4,True Dark,Deals none-type damage with darkness.
4,Drown,"It was a spell that infused the lungs with water. It was a magic that progressed in a countdown. It was useless towards those that had the ability to breathe underwater. There was a long-delayed before it was able to cause the death of the target. In Yggdrasil, it was not terrifying magic, as there were ways to counter it."
4,Complete Invisibility,It was a spell that was far superior to 'Invisibility.' Ainz would be completely invisible to anyone unless they used specialized magic to see him. The highest-ranked undead could even see through this spell's effect.
4,Dominate,It was a stronger spell than [Charm Person] as it could manipulate a person according to the caster�s will.
4,Regenerate,Provides healing over time.
4,Negative Burst,Sent out a burst of a sphere of negative energy from around the caster's body.
4,Mass Cure Light Wounds,Shasuryu can cast the healing spell with Over Magic.
4,Lightning Bird Swarm Talisman,"Shoots numerous birds formed by lightning, that are smaller than that of the Lightning Bird Talisman. These can be used to make an area-of-effect attack."
4,Undead Flame,Surrounds the target in an aura of mystical flames made of negative energy which will engulf the enemy when they make contact.
4,False Data: Life,The spell gives the user the ability to fake his/her HP.
4,False Data: Mana,The spell gives the user the ability to fake his/her MP.
4,Complete Vision,"Through Widen Magic, the spell could pierce and see through the fog up to a distance of 200 meters ahead of the user."
4,Absorption,"Creates a field that absorbs incoming magical energy, converting it to mana for the caster."
4,Field of Force,Generates a dome of pure force energy that blocks both physical and magical attacks.
4,Greater Hardening,Significantly increases physical defense of target. Can affect equipment and armor
4,Greater Luck,Dramatically improves fortune and chance-based outcomes for the target. Limited duration.
4,Greater Magic Vision,Enhanced version of detect magic that reveals invisible creatures and hidden magical effects.
4,Greater Resistance,Increase the chance of resisting spells and effects.
4,Mass Silence,AoE spell which inflicts silence on all within its radius who fail to pass the resistance check.
4,Mass Targeting,Increase damage on target from friendly group members in the caster�s party.
4,Paranormal Intuition,See an aura around entities in the etherial plane.
4,Phase Door,Creates a temporary portal through walls or magical barriers. Limited by material thickness and magical wards.
4,Sanctuary Protection,Creates a magical safe zone where hostile actions are prevented. 
4,Word of Curse,Speaks a word of power that can cause one of several negative effects determined at casting.
5,Dragon Lightning,"A 5th tier spell that shoots out a lightning bolt in the form of a dragon, that then seeks out its target."
5,Raise Dead,"It is a 5th tier resurrection spell that revives the dead person back to life with some loss of vitality and five levels in return. Moreover, this spell will have a hard time working without a corpse, or if it's badly damaged."
5,Sand Field: All,"A 5th tier spell. It was created by Evileye and is one of her strongest spells. Sand particles disperse throughout the surroundings. Because it affects one's comrades too, this spell was useless in a group fight. Any opponent within its area would be immobilized, as well as being blinded, silenced and dazed. By using this in conjunction with her trump card, it will also cause life drain on all caught within the spell's range."
5,Summon Monster 5th,"summons a tier 5 monster, or several tier 4 monsters."
5,Summon Undead 5th,"summons a tier 5 undead, or several tier 4 undead."
5,Summon Demon 5th,"summons a tier 5 demon, or several tier 4 demons."
5,Summon Angel 5th,"summons a tier 5 angel, or several tier 4 angels."
5,Teleportation,A 5th tier spell that allows the caster to teleport over a distance.
5,Vermin Bane,"An original spell created by Evileye during her fight against the insect demon god two hundred years ago. It forms a white mist of gas where if any insects were to enter its range, they're killed by it with the exception of Entoma's powerful resistance against the spell. This type of magic was developed with the sole purpose of repelling the insects used by that individual. The spell is effectively a counter-measure to insects while it doesn't cause any slightest harm to other organisms. The mana consumption of her original spell, 'Vermin Bane' is extremely large and is considered to be best reserved for when the opponent is about to summon insects."
5,Undying Flame,A 5th tier spell that allowed a dragon's hooked fangs and claws to blaze with bluish-white flame. This was a spell that added negative energy and fire damage.
5,Earth Master,A Defense buff spell used to defend against Earth Elemental enhanced abilities and/or spells.
5,Translocation Damage,A defensive spell that turns physical damage into mana loss.
5,Fire Storm,A divine area-effect attack spell.
5,Mass Middle Cure Wounds,A low tier healing spell used to cure certain wounds for a wider range of targets.
5,Thousand Bone Lance,A spell that throws an uncountable amount of bone spears at the target.
5,Greater Magic Seal,"A spell which ""stores"" the Spell cast afterward and releases it upon command."
5,Death Mask,A spell which can defend a caster from gaze attacks while strengthening the feat effect caused by the user.
5,Mass Slow,"A superior version of the single-target spell, [Slow] as it is capable of slowing down the movement of multiple enemies rather than one. It is an AoE spell."
5,YGGDRASIL Collection,AoE HP Recovery used to heal multiple allies.
5,Undead Form,"As an advanced version of [Mind of Undeath], this spell could briefly grant its target various properties of the undead, both beneficial and baneful."
5,Mass Hold Species,"Constricts a large number of creatures, rendering them unable to move."
5,Magic Destruction,Destroys an object made by magic. The success rate of this spell was directly dependent on the spell-casting ability of its caster.
5,Anti-Information Magic Wall,It is a type of spell that prevents surveillance by others.
5,Brilliant Radiance,"Offensive spell, purifying the target with holy light."
5,Mass Fly,The spell gives a group of people the ability to fly.
5,Greater Break Item,This spell is seemingly capable of destroying a magical item.
5,Draconic Power,Temporarily imbues target with aspects of dragon might. Includes enhanced strength and magical resistance.
5,Dragon Earth,Summon a dragon-like golem out of the raw earth. It can pass through natural terrain like water
5,Energy Immunity - Electricity,Grants complete immunity to electrical damage. Duration scales with caster level.
5,Energy Immunity - Fire,Grants complete immunity to fire damage. Duration scales with caster level.
5,Force Sanctuary,"Creates an impenetrable barrier of force energy. Can withstand massive damage. Nothing gets in, nothing gets out."
5,Freedom,Increase resistances to movement hindering effects
5,Greater Magic Accumulation,Target gains temporary hit points based on target�s level
5,Greater Magic Shield,Creates a barrier of magical force that absorbs incoming damage. More effective against magical attacks than physical ones. Improved version of Magic Shield
5,Heavenly Aura,Surrounds target with holy energy that enhances effects of holy magic.
5,Iron Hammer of Righteousness,Caster�s equipped weapon is imbued with extra holy damage equal to bludgeoning damage.
5,Nuclear Mine,A powerful mine that deals fire and bludgeoning damage
5,Run Wild Magic Level,A passive which causes spell damage to increase as if it was a spell of the next highest tier.
5,Run Wild Magic Range,A passive which increases spell range values for all spells excluding touch spells
5,Energy Immunity � Holy,Grants complete immunity to holy damage. Duration scales with caster level.
5,Energy Immunity � Earth,Grants complete immunity to earth damage. Duration scales with caster level.
5,Energy Immunity - Negative,Grants complete immunity to negative damage. Duration scales with caster level.
5,Energy Immunity � Water,Grants complete immunity to water damage. Duration scales with caster level.
5,Energy Immunity - Star,Grants complete immunity to star damage. Duration scales with caster level.
6,Control Weather,A 6th tier spell that allows the user to manipulate the weather.
6,Heal,A 6th tier spell that could restore a great deal of health in addition to healing various diseases and other abnormal status conditions.
6,Flamewing,A 6th tier spell.
6,Locate Object,This spell is used to detect the location of an object.
6,Obey,"A modified spell of ""Summon Undead 6th Tier"" which is Fluder's own creation. Supposedly it allows him to control lower rank undead."
6,Summon Monster 6th,"summons a tier 6 monster, or several tier 5 monsters."
6,Summon Undead 6th,"summons a tier 6 undead, or several tier 5 undead."
6,Summon Demon 6th,"summons a tier 6 demon, or several tier 5 demons."
6,Summon Angel 6th,"summons a tier 6 angel, or several tier 5 angels."
6,Wall of Hell,A 6th tier spell.
6,Greater Lethal,A divine spell with very powerful healing which involved channeling vast quantities of negative energy. It is the most powerful healing spell that Shalltear could cast on herself to greatly heal her HP.
